sample_text,class,class_number,intent,sub_intent,language
เข้าใจถูกไหมว่า RLVR เริ่มถูกใช้ในแอปพลิเคชันจริงแล้วบ้าง?,Web Search and Current Information Query,2,web_intent,understanding_check,th
What's the latest on using transformer models for time series analysis in finance?,Web Search and Current Information Query,2,web_intent,feedback_request,en
วิธีการวิเคราะห์ข้อมูลแบบไฮบริดของโครงข่ายประสาทเทียมที่มีประสิทธิภาพสูงสามารถปรับปรุงความแม่นยำในการจำแนกประเภทข้อมูลได้อย่างไร?,Academic Research Query,1,academic_intent,data_analysis,th
"How do advancements in deep learning for computer vision translate to real-world applications in healthcare and finance, and what are the key industry adopters?",Hybrid Research Query,3,hybrid_intent,trend_analysis,en
การวิเคราะห์ข้อมูลจากงานวิจัยเรื่อง simulated annealing ในการแก้ปัญหา multi-objective optimization มีแนวทางและเทคนิคใดบ้าง?,Academic Research Query,1,academic_intent,data_analysis,th
What statistical methods can be employed to test the null hypothesis that federated learning models perform comparably to centralized models in image classification tasks?,Academic Research Query,1,academic_intent,hypothesis_testing,en
LLM ไหนที่เหมาะสำหรับงานสรุปบทความภาษาไทยแบบ real-time บ้าง?,Web Search and Current Information Query,2,web_intent,understanding_check,th
การเปรียบเทียบประสิทธิภาพของเครือข่ายประสาทเทียมแบบ Convolutional Neural Network (CNN) และ Recurrent Neural Network (RNN) ในการวิเคราะห์ข้อมูลภาพถ่ายจากโดรน,Hybrid Research Query,3,hybrid_intent,comparison_request,th
จะหาข้อมูลเกี่ยวกับเทคนิคการปรับปรุงประสิทธิภาพของโมเดล world models สำหรับการวิเคราะห์ข้อมูลขนาดใหญ่ได้จากแหล่งข้อมูลใด?,Academic Research Query,1,academic_intent,source_request,th
แมวของฉันชอบข่วนเฟอร์นิเจอร์ ทำอย่างไรดี,Casual Conversation and General Query,4,out_of_domain,pet_advice,th
อยากทราบว่าเทคนิค domain adaptation สามารถปรับปรุงประสิทธิภาพของระบบแนะนำภาพยนตร์ได้อย่างไรบ้าง,Hybrid Research Query,3,hybrid_intent,comparison_request,th
"Hey, any good books about travel adventures lately?",Casual Conversation and General Query,4,out_of_domain,book_recommendations,en
Thoughts on the latest paper on RLVR for dialogue systems?,Web Search and Current Information Query,2,web_intent,feedback_request,en
"Hey, my phone's battery is dying fast, what's the best way to extend its life?",Casual Conversation and General Query,4,out_of_domain,tech_support,en
ในการวิจัยการจดจำใบหน้าด้วย deep learning วิธีการใดที่เหมาะสมที่สุดในการประเมินความเที่ยงธรรมของโมเดลเมื่อเผชิญกับข้อมูลภาพที่มีความแตกต่างด้านเชื้อชาติ?,Academic Research Query,1,academic_intent,methodology_query,th
เพลงใหม่ๆ มีอะไรน่าฟังบ้าง,Casual Conversation and General Query,4,out_of_domain,music_recommendations,th
การวิเคราะห์เชิงปริมาณในงานวิจัยล่าสุดนี้ได้นำเสนอวิธีการใหม่ในการประเมินความเสี่ยงทางเศรษฐกิจหรือไม่?,Academic Research Query,1,academic_intent,academic_query,th
"Catch you later, chatbot!",Casual Conversation and General Query,4,out_of_domain,goodbye,en
ปัจจุบันมีการวิจัยเกี่ยวกับการใช้ multimodal learning ในการวิเคราะห์วิดีโอเพื่อตรวจจับอารมณ์มนุษย์ไปถึงขั้นไหนแล้วเหรอ?,Hybrid Research Query,3,hybrid_intent,trend_analysis,th
What are the latest breakthroughs in interpretable machine learning and how are they being used in real-world applications?,Hybrid Research Query,3,hybrid_intent,search_request,en
"How are quantum algorithms used in real-world recommender systems, and what are the challenges?",Hybrid Research Query,3,hybrid_intent,search_request,en
Let me know if you'd like more examples tailored to a specific knowledge domain!,Web Search and Current Information Query,2,web_intent,feedback_request,en
"Hey, what's the best way to declutter my living room without losing my mind?",Casual Conversation and General Query,4,out_of_domain,home_improvement,en
How are transformer models used in industry compared to their original academic applications?,Hybrid Research Query,3,hybrid_intent,comparison_request,en
ความหมายของ fairness ใน AI คืออะไร และมีวิธีการประเมินใดบ้างที่ใช้กันอย่างแพร่หลายในปัจจุบัน?,Academic Research Query,1,academic_intent,definition_request,th
มีวิธีการนำกราฟนิวรัลเน็ตเวิร์คมาปรับปรุงการวิเคราะห์ข้อมูลการแพทย์อย่างไร,Hybrid Research Query,3,hybrid_intent,search_request,th
"Can you help me understand how to apply optical flow algorithms in real-world computer vision projects, and what are the industry best practices?",Hybrid Research Query,3,hybrid_intent,help_request,en
ในการวิเคราะห์ข้อมูลจีโนมขนาดใหญ่ วิธีการใดที่เหมาะสมที่สุดสำหรับการระบุ varient ที่มีนัยสำคัญทางคลินิก?,Academic Research Query,1,academic_intent,methodology_query,th
"Hey, I need help finding research papers and industry examples on using sensor fusion for activity recognition in unmanned aerial vehicles.",Hybrid Research Query,3,hybrid_intent,help_request,en
วิธีการใช้เทคนิคการเรียนรู้เชิงลึกแบบ Bagging มีความแตกต่างจากเทคนิค Ensemble อื่นอย่างไรในการปรับปรุงประสิทธิภาพของโมเดล AI ในการวิเคราะห์ข้อมูลขนาดใหญ่,Hybrid Research Query,3,hybrid_intent,comparison_request,th
มีงานวิจัยหรือบทความใดบ้างที่อธิบายการนำเทคนิคการเรียนรู้ของเครื่องแบบ Semi-supervised มาใช้ในระบบตรวจจับวัตถุ (Object Detection) บนโมบายโรบอท (Mobile Robots) ในปัจจุบัน?,Hybrid Research Query,3,hybrid_intent,summary_request,th
"What are the latest research advancements and industry applications of graph neural networks in finance, and how are they being used for risk management?",Hybrid Research Query,3,hybrid_intent,case_study,en
วิเคราะห์ความสัมพันธ์ระหว่าง quantum gates กับการประยุกต์ใช้ AI ในระบบเครือข่าย เพื่อเพิ่มประสิทธิภาพและความปลอดภัยในการส่งข้อมูล,Hybrid Research Query,3,hybrid_intent,summary_request,th
Does chain-of-thought prompting significantly improve robustness in image generation models compared to standard decoding methods?,Academic Research Query,1,academic_intent,hypothesis_testing,en
What are the latest research advancements and industry applications of deep learning in computer vision for autonomous vehicles?,Hybrid Research Query,3,hybrid_intent,trend_analysis,en
มีวิธีการนำแนวคิดเรื่อง Transfer Learning ไปประยุกต์ใช้กับการพัฒนาระบบ Conversational AI อย่างไร?,Hybrid Research Query,3,hybrid_intent,search_request,th
RLVR มีผลกระทบต่อการพัฒนา LLM อย่างไรบ้าง?,Web Search and Current Information Query,2,web_intent,clarification_request,th
วิเคราะห์กรณีศึกษาการใช้ knowledge graphs ในการปรับปรุงระบบค้นหาและแนะนำสินค้าบนแพลตฟอร์มอีคอมเมิร์ซ,Hybrid Research Query,3,hybrid_intent,search_request,th
เข้าใจถูกไหมว่าปัจจุบันมีการใช้ AI ในการวิเคราะห์ข้อมูลขนาดใหญ่ในธุรกิจอย่างไร?,Web Search and Current Information Query,2,web_intent,understanding_check,th
What's the latest consensus on transformer architecture's impact on natural language processing?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
เข้าใจถูกไหมว่าโมเดล Quantum AI ใหม่สามารถทำงานร่วมกับเครือข่ายประสาทเทียมได้หรือไม่?,Web Search and Current Information Query,2,web_intent,clarification_request,th
What are the latest advancements in graph neural networks for fraud detection in financial transactions?,Hybrid Research Query,3,hybrid_intent,search_request,en
การวิจัยปัจจุบันได้สำรวจวิธีการใดบ้างในการปรับปรุงประสิทธิภาพของโมเดลภาษาขนาดใหญ่สำหรับงานแปลภาษาไทย?,Academic Research Query,1,academic_intent,literature_review,th
แนวโน้มการนำเทคนิคการเรียนรู้ของเครื่องแบบไม่มีผู้ควบคุมมาใช้ในระบบตรวจจับและป้องกันการโจมตีเครือข่ายในปัจจุบันเป็นอย่างไร?,Hybrid Research Query,3,hybrid_intent,search_request,th
เราจะใช้เทคนิคการเรียนรู้เชิงลึกเพื่อปรับปรุงความแม่นยำของการจำแนกประเภทข้อมูลได้อย่างไร?,Academic Research Query,1,academic_intent,statistical_query,th
How does academic research on topological data analysis impact real-world applications in autonomous vehicles?,Hybrid Research Query,3,hybrid_intent,comparison_request,en
วิธีการใช้เทคนิคการเรียนรู้ด้วยตนเอง (self-supervised learning) ในระบบ AI สำหรับการวิเคราะห์วิดีโอแตกต่างจากการใช้เทคนิคการเรียนรู้แบบมีผู้ควบคุม (supervised learning) อย่างไร?,Hybrid Research Query,3,hybrid_intent,comparison_request,th
How has Bayesian statistics been applied to address challenges in simultaneous localization and mapping for mobile robots?,Academic Research Query,1,academic_intent,literature_review,en
"Hey, my phone's screen is freezing, what's going on with it?",Casual Conversation and General Query,4,out_of_domain,device_troubleshooting,en
"What statistical methods are most effective for testing the significance of correlations in high-dimensional proteomics data, and what are their limitations?",Academic Research Query,1,academic_intent,hypothesis_testing,en
convolutional neural networks,Academic Research Query,1,academic_intent,data_analysis,en
การกรองแบบแ adaptative,Academic Research Query,1,academic_intent,definition_request,th
"Hey, how often do you change your car's oil, every 3 months or so?",Casual Conversation and General Query,4,out_of_domain,car_maintenance,en
Diffusion models กำลังฮิตใน AI แต่การนำไปใช้จริงในระบบ sensor networks มีอุปสรรคอะไรบ้าง?,Hybrid Research Query,3,hybrid_intent,trend_analysis,th
How does the use of transformer models in academic research on creative writing compare to their application in commercial chatbot development?,Hybrid Research Query,3,hybrid_intent,comparison_request,en
What are the most effective data preprocessing techniques used in 3D reconstruction from point clouds?,Academic Research Query,1,academic_intent,methodology_query,en
วิธีการที่ใช้ในการประมวลผลข้อมูลข้อความในงานวิจัยเรื่องนี้มีรายละเอียดอย่างไรบ้าง?,Academic Research Query,1,academic_intent,methodology_query,th
variational autoencoders,Academic Research Query,1,academic_intent,explanation_request,en
How are variational autoencoders used in real-world edge computing applications?,Hybrid Research Query,3,hybrid_intent,search_request,en
ในการวิจัยเรื่องการเรียนรู้ของหุ่นยนต์โดยใช้เทคนิค transfer learning วิธีการประเมินประสิทธิภาพของโมเดลที่เหมาะสมควรเป็นอย่างไร?,Academic Research Query,1,academic_intent,methodology_query,th
ถ้าฉันเป็นนักแสดง ฉันจะเล่นเป็นคนบ้าได้ดีเลย,Casual Conversation and General Query,4,out_of_domain,jokes,th
ฉันควรทำอย่างไรเพื่อลดน้ำหนักได้อย่างรวดเร็วและปลอดภัย,Casual Conversation and General Query,4,out_of_domain,health_tips,th
ช่วยอธิบายว่าเทคนิคการวิเคราะห์ข้อมูลเชิงลึกในด้าน digital signal processing ช่วยปรับปรุงระบบตรวจจับเสียงพูดได้อย่างไร?,Hybrid Research Query,3,hybrid_intent,search_request,th
วันนี้คุณกินข้าวเที่ยงไปที่ไหนมา,Casual Conversation and General Query,4,out_of_domain,small_talk,th
What's the latest developer feedback on using transformer architecture for NLP tasks?,Web Search and Current Information Query,2,web_intent,feedback_request,en
How is discrete optimization used in real-world applications like network security and video understanding?,Hybrid Research Query,3,hybrid_intent,search_request,en
What are the best practices for evaluating the fairness of machine translation models?,Academic Research Query,1,academic_intent,methodology_query,en
What's the latest on Meta's approach to embodied AI and its real-world applications?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
How are recent breakthroughs in named entity recognition being used to improve chatbots in customer service?,Hybrid Research Query,3,hybrid_intent,summary_request,en
การวิเคราะห์เครือข่ายความสัมพันธ์ในกราฟความรู้ของภาษาไทยสามารถเปิดเผยรูปแบบการเชื่อมโยงความหมายที่ซับซ้อนได้หรือไม่?,Academic Research Query,1,academic_intent,data_analysis,th
What are the best practices for evaluating the performance of spiking neural networks in robot learning tasks?,Academic Research Query,1,academic_intent,methodology_query,en
"My friend's birthday is coming up, any gift ideas?",Casual Conversation and General Query,4,out_of_domain,personal_advice,en
"What are the most effective statistical methods for analyzing causal relationships in high-energy physics experiments, and what are their limitations?",Academic Research Query,1,academic_intent,statistical_query,en
Any tips for starting a vegetable garden?,Casual Conversation and General Query,4,out_of_domain,hobby_advice,en
"Thanks for being here, I really appreciate having someone to chat with!",Casual Conversation and General Query,4,out_of_domain,thanks,en
การเปรียบเทียบประสิทธิภาพของโครงข่ายประสาทเทียมแบบ Recurrent Neural Network (RNN) และ Long Short-Term Memory (LSTM) ในการวิเคราะห์ข้อมูลอนุกรมเวลา,Hybrid Research Query,3,hybrid_intent,comparison_request,th
What are experts saying about the future of quantum annealing?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
What are the applications of topological data analysis in materials science for predicting crystal structures and phase transitions?,Academic Research Query,1,academic_intent,academic_query,en
"What's the correlation between research papers on visual transformers and their adoption in industry applications, such as facial recognition and image processing?",Hybrid Research Query,3,hybrid_intent,trend_analysis,en
What are experts saying about the Log4j vulnerability's long-term impact?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
"How can I apply variational autoencoders to improve data compression in industrial IoT devices, while balancing energy efficiency and data accuracy?",Hybrid Research Query,3,hybrid_intent,case_study,en
"Analyze the application of bandit algorithms in recommendation systems, from research papers to real-world use cases in e-commerce and online advertising.",Hybrid Research Query,3,hybrid_intent,case_study,en
Quantum machine learning กำลังบูมในอุตสาหกรรมไหนบ้าง? มีงานวิจัยอะไรที่น่าสนใจ?,Hybrid Research Query,3,hybrid_intent,trend_analysis,th
Could you please recommend influential papers exploring the application of attention mechanisms in sentiment mining?,Academic Research Query,1,academic_intent,source_request,en
Let me know if you'd like more examples tailored to a specific domain!,Web Search and Current Information Query,2,web_intent,expert_opinion,en
วันนี้ดูละครเรื่องไหน ?,Casual Conversation and General Query,4,out_of_domain,small_talk,th
What's the latest expert take on using transformer architecture for real-time object recognition?,Web Search and Current Information Query,2,web_intent,feedback_request,en
งานวิจัยใหม่ๆ เกี่ยวกับ Large Language Models (LLMs) ในการวิเคราะห์ข้อมูลภาพมีแนวโน้มในการนำไปใช้ในอุตสาหกรรมไหนบ้าง?,Hybrid Research Query,3,hybrid_intent,case_study,th
What's the latest expert take on using reinforcement learning for robot control systems?,Web Search and Current Information Query,2,web_intent,feedback_request,en
นาฬิกาอะไรที่คุณแนะนำให้ซื้อใช้,Casual Conversation and General Query,4,out_of_domain,product_recommendations,th
"Does embodied AI enhance robotic tactile sensing capabilities, and what statistical methods can test this hypothesis in controlled experiments?",Academic Research Query,1,academic_intent,hypothesis_testing,en
AI ในการควบคุมโดรนพัฒนาไปถึงไหนแล้ว? มีใครใช้จริงมั้ย?,Web Search and Current Information Query,2,web_intent,understanding_check,th
"Hey, what's a good pair of sneakers for a casual, everyday wear?",Casual Conversation and General Query,4,out_of_domain,product_recommendations,en
What are the latest breakthroughs in novel view synthesis?,Web Search and Current Information Query,2,web_intent,feedback_request,en
"What are the latest advancements in anomaly detection using Gaussian processes, and how are they applied in industry cybersecurity systems?",Hybrid Research Query,3,hybrid_intent,help_request,en
Can transformer-based language models like BERT be used for multimodal sentiment analysis?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
ในงานวิจัยนี้ ผู้เขียนใช้เทคนิค dimensionality reduction แบบใดในการลดมิติข้อมูล และเหตุผลในการเลือกเทคนิคดังกล่าวคืออะไร?,Academic Research Query,1,academic_intent,explanation_request,th
การวิจัย swarm robotics ในปัจจุบันมีแนวโน้มไปทางไหน และมันจะเปลี่ยนแปลงอุตสาหกรรมการผลิตยังไง?,Hybrid Research Query,3,hybrid_intent,trend_analysis,th
Remember to tailor the query to your specific needs and the type of feedback you're looking for.,Web Search and Current Information Query,2,web_intent,feedback_request,en
จะหาข้อมูลเกี่ยวกับวิธีการออกแบบการทดลองเพื่อทดสอบประสิทธิภาพของ neural network ในการสรุปข้อมูลได้อย่างไร?,Academic Research Query,1,academic_intent,source_request,th
"ด้วยความก้าวหน้าของ self-supervised learning, เราจะใช้มันปรับปรุง panoptic segmentation ใน mixed reality ได้ยังไง?",Hybrid Research Query,3,hybrid_intent,case_study,th
นักวิจัยสามารถใช้เทคนิคการเรียนรู้ของเครื่องอย่างไรเพื่อปรับปรุงประสิทธิภาพของระบบตรวจสอบความปลอดภัยของเครือข่าย?,Academic Research Query,1,academic_intent,explanation_request,th
What are the latest advancements in decentralized identity?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
การวิเคราะห์อัลกอริทึม Genetique สำหรับการแก้ปัญหา Simultaneous Localization and Mapping มีแนวโน้มในการพัฒนาอย่างไรใน 5 ปีข้างหน้า?,Academic Research Query,1,academic_intent,statistical_query,th
"What's the latest on object detection research and its applications in satellite imagery for business use cases, particularly in the context of edge computing?",Hybrid Research Query,3,hybrid_intent,trend_analysis,en
ทำไมโมเดลภาษาเชิงลึกถึงต้องการปรับปรุงอย่างต่อเนื่องเพื่อรักษาความแม่นยำ?,Web Search and Current Information Query,2,web_intent,understanding_check,th
มีวิธีการใดบ้างที่ใช้ geometric deep learning เพื่อปรับปรุงประสิทธิภาพการทำงานของระบบ computer vision ในการนำไปใช้จริง?,Hybrid Research Query,3,hybrid_intent,summary_request,th
ผู้เชี่ยวชาญมีความเห็นอย่างไรเกี่ยวกับการใช้ Transformer ในการประมวลผลภาษาไทย?,Web Search and Current Information Query,2,web_intent,clarification_request,th
What are the hottest trends in machine learning right now?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
How is chaos theory being applied in real-world applications like IoT and grasping robots?,Hybrid Research Query,3,hybrid_intent,summary_request,en
จริงไหมที่ AI สามารถสร้างวิดีโอที่ดูจริงได้แล้ว และมีใครใช้เทคโนโลยีนี้บ้าง?,Web Search and Current Information Query,2,web_intent,understanding_check,th
What are the theoretical foundations and limitations of using graphical models for unsupervised learning in network topology analysis?,Academic Research Query,1,academic_intent,academic_query,en
วิธีการนำ machine learning ไปใช้เพื่อแก้ปัญหาการใช้พลังงานอย่างมีประสิทธิภาพในอุตสาหกรรมต่างๆ มีการพัฒนาไปอย่างไรบ้าง,Hybrid Research Query,3,hybrid_intent,search_request,th
งานวิจัย tactile sensing ใน legged locomotion มีแนวโน้มไปทางไหนในอุตสาหกรรมหุ่นยนต์ปัจจุบัน?,Hybrid Research Query,3,hybrid_intent,help_request,th
"What are the practical applications of game theory in metaverse development, and how do they align with academic research on human-robot interaction?",Hybrid Research Query,3,hybrid_intent,case_study,en
"Hey, any good pizza places around here?",Casual Conversation and General Query,4,out_of_domain,food_recommendations,en
How are foundation models used in real-world coding applications compared to academic research?,Hybrid Research Query,3,hybrid_intent,comparison_request,en
มีวิธีแก้ปัญหาจอโทรศัพท์แตกได้ไหม,Casual Conversation and General Query,4,out_of_domain,device_troubleshooting,th
edge computing กำลังบูม! หาตัวอย่างที่ บริษัท BIG4 นำไปใช้จริงได้ยังไงบ้าง?,Hybrid Research Query,3,hybrid_intent,case_study,th
How is academic research on bias detection in AI being used to build fairer algorithms in real-world applications?,Hybrid Research Query,3,hybrid_intent,summary_request,en
คุณจะขอโทษเพื่อนเก่าๆ ที่คุณเคยทำอะไรไม่ดีกับเขาได้อย่างไร,Casual Conversation and General Query,4,out_of_domain,apology,th
เราควรสอนเด็กให้เรียนรู้จากการลองผิดลองถูก หรือให้คำแนะนำอย่างไร,Casual Conversation and General Query,4,out_of_domain,parenting_advice,th
วิธีการปรับแต่ง hyperparameter ของโมเดลการเรียนรู้ของเครื่องในอุตสาหกรรมแตกต่างจากการวิจัยเชิงวิชาการอย่างไร?,Hybrid Research Query,3,hybrid_intent,comparison_request,th
What are the underlying mechanisms that enable self-supervised learning models to learn effective representations without explicit labels?,Academic Research Query,1,academic_intent,explanation_request,en
การวิเคราะห์แนวโน้มการประยุกต์ใช้ attention mechanisms ในงานวิจัยด้าน optical flow มีทิศทางอย่างไรในช่วง 5 ปีที่ผ่านมา?,Academic Research Query,1,academic_intent,academic_query,th
การวิจัยเกี่ยวกับ Legged Locomotion ในหุ่นยนต์ มีแนวโน้มไปทางไหนในอุตสาหกรรมบริการ?,Hybrid Research Query,3,hybrid_intent,trend_analysis,th
"What are the theoretical foundations and applications of variational autoencoders in generative modeling, and how do they compare to traditional probabilistic models?",Academic Research Query,1,academic_intent,academic_query,en
การออกกำลังกายแบบไหนที่ช่วยให้น้ำหนักลดเร็วที่สุด?,Casual Conversation and General Query,4,out_of_domain,fitness_tips,th
How is meta-learning being used in real-world applications like dialogue systems or action recognition?,Hybrid Research Query,3,hybrid_intent,summary_request,en
วันนี้ทำกับข้าวอะไรกินดี?,Casual Conversation and General Query,4,out_of_domain,cooking_recipes,th
"Hey, what's a good way to spend a lazy Sunday afternoon?",Casual Conversation and General Query,4,out_of_domain,small_talk,en
วิธีการใดที่เหมาะสมที่สุดในการประเมินประสิทธิภาพของโมเดลปัญญาประดิษฐ์สำหรับการจัดอันดับข้อมูลตามบริบทของการค้นหา?,Academic Research Query,1,academic_intent,academic_query,th
What are the hottest trends in embedded systems right now?,Web Search and Current Information Query,2,web_intent,feedback_request,en
วิธีการออกแบบการทดลองที่เหมาะสมในการทดสอบประสิทธิภาพของ neural network สำหรับการเรียนรู้เชิงลึกในโดเมนเฉพาะของการวิเคราะห์ข้อมูลชีวภาพคืออะไร?,Academic Research Query,1,academic_intent,hypothesis_testing,th
What's the latest on using reinforcement learning for image restoration in computer vision?,Web Search and Current Information Query,2,web_intent,feedback_request,en
What is the correlation between sentiment polarity scores and cryptocurrency price fluctuations?,Academic Research Query,1,academic_intent,statistical_query,en
ท่านทราบงานวิจัยใดบ้างที่ใช้ evolutionary algorithms ในการปรับปรุงประสิทธิภาพของ collaborative filtering ?,Academic Research Query,1,academic_intent,source_request,th
ขอแหล่งอ้างอิงสำหรับบทความวิจัยเกี่ยวกับการใช้ deep learning ในการวิเคราะห์ข้อมูลชีวภาพ เพื่อประยุกต์ใช้ในการวิจัยโรคมะเร็ง,Academic Research Query,1,academic_intent,source_request,th
การเรียนรู้แบบเสริมแรง,Academic Research Query,1,academic_intent,definition_request,th
งานวิจัยเกี่ยวกับ Gaussian Processes ในด้าน recommender systems มีแนวโน้มไปทางไหนในปีนี้?,Hybrid Research Query,3,hybrid_intent,trend_analysis,th
"What are the recent advances in multimodal learning for medical imaging, and how do they improve diagnostic accuracy in clinical settings?",Academic Research Query,1,academic_intent,literature_review,en
ใครคือผู้เล่นที่ทำประตูมากที่สุดในประวัติศาสตร์บอลโลก?,Casual Conversation and General Query,4,out_of_domain,sports_news,th
"Hey, can you help me understand how graph neural networks are being used in industry for anomaly detection, and what are the latest research findings?",Hybrid Research Query,3,hybrid_intent,help_request,en
What are the latest trends in reinforcement learning?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
มีนิยายรักโรแมนติกเรื่องไหนที่เธอกำลังอ่านอยู่มั้ย?,Casual Conversation and General Query,4,out_of_domain,book_recommendations,th
ข้อใดคือแนวทางหลักในการสร้างตัวแบบการเรียนรู้ที่ดีที่สุดสำหรับข้อมูลอนุกรมเวลา (time series) ที่มีความซับซ้อน?,Academic Research Query,1,academic_intent,literature_review,th
What are the hottest trends in malware detection right now?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
คุณสามารถแนะนำแหล่งข้อมูลทางวิชาการที่เกี่ยวข้องกับการปรับปรุงประสิทธิภาพของระบบปัญญาประดิษฐ์โดยใช้เทคนิคการเรียนรู้ด้วยตัวเองได้หรือไม่?,Academic Research Query,1,academic_intent,source_request,th
มีใครใช้เครื่องมือ LLaMA ของ Meta AI ในการสร้างโมเดลภาษาไทยบ้างไหม?,Web Search and Current Information Query,2,web_intent,understanding_check,th
คือแบบ... เอา research เกี่ยวกับ anomaly detection ใน social networks มาใช้จริงได้ยังไงบ้างวะ?,Hybrid Research Query,3,hybrid_intent,help_request,th
What's the developer community's take on the new PyTorch 2.0 release?,Web Search and Current Information Query,2,web_intent,feedback_request,en
วิธีการวิเคราะห์ข้อมูลใดที่เหมาะสมที่สุดสำหรับการศึกษาการแพร่กระจายของข้อมูลเท็จในโซเชียลมีเดีย?,Academic Research Query,1,academic_intent,methodology_query,th
LLM เริ่มเขียนโค้ดได้ดีแล้วจริงไหม? แชร์ตัวอย่างหน่อยได้มั้ย?,Web Search and Current Information Query,2,web_intent,understanding_check,th
object detection,Hybrid Research Query,3,hybrid_intent,comparison_request,th
อะไรคือผลกระทบของการใช้เทคนิค ensemble learning ในการปรับปรุงความแม่นยำของโมเดล machine learning สำหรับการวิเคราะห์ข้อมูลขนาดใหญ่?,Academic Research Query,1,academic_intent,statistical_query,th
effective evaluation metrics,Academic Research Query,1,academic_intent,methodology_query,en
งานวิจัยเรื่อง continual learning ใน image classification มีแนวโน้มจะถูกนำไปใช้ในอุตสาหกรรมอย่างไร?,Hybrid Research Query,3,hybrid_intent,case_study,th
What are the latest advancements in RLVR for fog computing?,Web Search and Current Information Query,2,web_intent,feedback_request,en
What do experts think about Google's recent advancements in multimodal learning for AI?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
What are the underlying mechanisms that enable self-supervised learning models to learn effective representations from unlabeled data in computer vision tasks?,Academic Research Query,1,academic_intent,explanation_request,en
ผู้เชี่ยวชาญมีความเห็นอย่างไรเกี่ยวกับการใช้เทคนิค Explainable AI ในโมเดลการเรียนรู้ของเครื่องในปัจจุบัน?,Web Search and Current Information Query,2,web_intent,clarification_request,th
What are the underlying mathematical principles that enable Gaussian splatting to effectively model complex fluid dynamics simulations in computational physics?,Academic Research Query,1,academic_intent,explanation_request,en
Do Bayesian optimization techniques improve trajectory optimization performance in quantum neural networks compared to gradient descent methods?,Academic Research Query,1,academic_intent,hypothesis_testing,en
การประยุกต์ใช้ variational autoencoders ในการตรวจจับการบุกรุกเครือข่ายมีข้อจำกัดอะไรบ้าง?,Academic Research Query,1,academic_intent,academic_query,th
การตรวจจับปัญหาการเรียนรู้ด้วยเครื่องจักร,Academic Research Query,1,academic_intent,methodology_query,th
"What are the theoretical foundations of attention mechanisms in deep learning models for natural language processing, and how do they impact performance?",Academic Research Query,1,academic_intent,academic_query,en
เธอทำอาหารได้อร่อยมากเลย ทำได้ดีมากๆ เลย,Casual Conversation and General Query,4,out_of_domain,compliment,th
เทคนิคการเรียนรู้ของเครื่องแบบลึก (Deep Learning) มีการปรับปรุงอย่างไรในปี 2024?,Web Search and Current Information Query,2,web_intent,clarification_request,th
How do diffusion models address the problem of mode collapse in generative tasks?,Academic Research Query,1,academic_intent,explanation_request,en
What do AI experts think about the ethics of facial recognition technology?,Web Search and Current Information Query,2,web_intent,expert_opinion,en
เข้าใจถูกไหมว่าโมเดล AI ที่ใช้ deep learning มีความเสี่ยงต่อการถูกโจมตีทางไซเบอร์มากขึ้น?,Web Search and Current Information Query,2,web_intent,understanding_check,th
ออกกำลังกายแบบไหนที่ไม่เบื่อดีอ่ะ?,Casual Conversation and General Query,4,out_of_domain,fitness_tips,th
วันนี้กินอะไรดีอ่ะ เริ่มคิดไม่ออกแล้ว,Casual Conversation and General Query,4,out_of_domain,casual_chat,th
ปัจจุบันมีงานวิจัยเกี่ยวกับการใช้ unsupervised learning กับ satellite imagery เพื่อวิเคราะห์อารมณ์ของประชาชนในพื้นที่ภัยพิบัติ มีแนวทางไหนที่สามารถนำไปใช้จริงได้บ้าง?,Hybrid Research Query,3,hybrid_intent,case_study,th
มีงานวิจัยใดบ้างที่สำรวจวิธีการประยุกต์ใช้ optical flow ในการพัฒนาโมเดล forecasting ของราคาหุ้น?,Academic Research Query,1,academic_intent,source_request,th
How are quantum neural networks being used in real-world applications like object recognition?,Hybrid Research Query,3,hybrid_intent,search_request,en
พี่แนะนำร้านอาหารอร่อยแถวนี้หน่อยดิ,Casual Conversation and General Query,4,out_of_domain,product_recommendations,th
What's the latest industry take on Google's new federated learning approach for AI models?,Web Search and Current Information Query,2,web_intent,feedback_request,en
Google Bard ใช้เทคนิคการเรียนรู้แบบไหนเพื่อปรับปรุงความแม่นยำในการตอบคำถาม,Web Search and Current Information Query,2,web_intent,understanding_check,th
Anyone using RRT* for robot navigation lately? Tips?,Web Search and Current Information Query,2,web_intent,feedback_request,en
ใครพอจะอธิบายได้มั้ยว่า Blockchain กับ peer-to-peer network มัน connect กันยังไงในทางปฏิบัติ?,Hybrid Research Query,3,hybrid_intent,help_request,th
differential privacy,Academic Research Query,1,academic_intent,definition_request,en
